video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label
cxlDnO6-jb8,Rajiv Gandhi Proudyogiki Vishwavidyalaya,controversies,scam,Rajiv Gandhi Proudyogiki Vishwavidyalaya scam,waiting for bus at UIT RGPV #bhopal #btech #rgpv #engineering,,AKSHAT PATEL PRO,2023-09-18T16:18:47Z,2023,4070,36,1,PT6S,unknown,https://www.youtube.com/watch?v=cxlDnO6-jb8,3,Removed
GpleK1SCBTE,Rajiv Gandhi Proudyogiki Vishwavidyalaya,controversies,scam,Rajiv Gandhi Proudyogiki Vishwavidyalaya scam,University institute of technology RGPV shahdol #UniversityinstituteoftechnologyRGPVshahdol #RGPV,,amar namdev,2023-10-07T01:45:38Z,2023,160,9,0,PT37S,unknown,https://www.youtube.com/watch?v=GpleK1SCBTE,3,Removed
4y-oE_arnaw,Rajiv Gandhi Proudyogiki Vishwavidyalaya,controversies,scam,Rajiv Gandhi Proudyogiki Vishwavidyalaya scam,"1st sem me 3 aur 2nd sem me 2 back hai, mera kya hoga ? #jugad4engineers",Download Our App Jugad for Engineers:- https://play.google.com/store/apps/details?id=co.george.awnoy Doubt solution ...,Jugad for Engineers,2025-10-23T09:45:00Z,2025,159286,2227,526,PT28S,unknown,https://www.youtube.com/watch?v=4y-oE_arnaw,3,Removed
GW9ccek46EY,Pandit Ravishankar Shukla University,controversies,scam,Pandit Ravishankar Shukla University scam,"PTRSU B.Ed Admission 2026 -Form Date, Eligibility, Fees &amp; Complete Information by Divya mam #prsu","PRSU B.Ed Admission 2026- Form Date, Eligibility, Fees | Complete Guide PRSU B.Ed Admission 2026 — Complete ...",DIVYA ACADEMY,2026-02-27T15:16:15Z,2026,1249,21,16,PT16M26S,unknown,https://www.youtube.com/watch?v=GW9ccek46EY,3,Removed
bkS_JPN8lQk,Rajiv Gandhi Proudyogiki Vishwavidyalaya,controversies,scam,Rajiv Gandhi Proudyogiki Vishwavidyalaya scam,RGPV CSE-AIML First Semester Mid Sem and End Sem All Question Papers with PDF,Link for All Previous Year Question Papers : https://drive.google.com/drive/folders/1r0FVsqpf9yBp2hP_8TZB9-dK9-LrdQAv.,KD Here,2023-05-15T15:14:58Z,2023,307,5,11,PT1M3S,unknown,https://www.youtube.com/watch?v=bkS_JPN8lQk,3,Removed
7Kc6Yc4to-Y,Rajiv Gandhi Proudyogiki Vishwavidyalaya,controversies,scam,Rajiv Gandhi Proudyogiki Vishwavidyalaya scam,Review Of Today Exam 😔 || Digital System पेपर बहुत hard था || Today Exam review,Review Of Today Exam || Digital System पेपर बहुत hard था || Today Exam review RGPV BTech third semester digital ...,Jishan Ahmad Education,2023-02-01T09:20:26Z,2023,1817,64,0,PT4M42S,unknown,https://www.youtube.com/watch?v=7Kc6Yc4to-Y,3,Removed
zWcy2kVFj7M,Rajiv Gandhi Proudyogiki Vishwavidyalaya,controversies,scam,Rajiv Gandhi Proudyogiki Vishwavidyalaya scam,Engineering Drawing Most Shocking Paper Review | BT-105 | RGPV Exam ,aboveengineering Engineering Graphics BT-105 Exam Paper Review and Solution | RGPV 2026 | Check Your Answers ...,Above Engineering ,2026-03-02T12:45:56Z,2026,2231,58,53,PT3M57S,unknown,https://www.youtube.com/watch?v=zWcy2kVFj7M,3,Removed
yv_y5U1ajfg,Rajiv Gandhi Proudyogiki Vishwavidyalaya,controversies,scam,Rajiv Gandhi Proudyogiki Vishwavidyalaya scam,RGPV college Bhopal m.tech me admission || Ram prajapati #vlog #minivlog #bhopal,,Ram Prajapati,2025-09-20T03:39:19Z,2025,5740,81,7,PT1M,unknown,https://www.youtube.com/watch?v=yv_y5U1ajfg,3,Removed
7IUauhNIs2Y,Dr Babasaheb Ambedkar Technological University,controversies,scam,Dr Babasaheb Ambedkar Technological University scam,BBAU Placements || #shortsviral #bbau #viralvideo #cuet2025 #motivation #campus #placement,College placement BBAU lucknow.,Hey it's Akansha,2023-09-03T08:15:34Z,2023,164530,788,109,PT8S,unknown,https://www.youtube.com/watch?v=7IUauhNIs2Y,3,Removed
96Vid0JOCuc,Dr APJ Abdul Kalam Technical University,controversies,scam,Dr APJ Abdul Kalam Technical University scam,SHOCKING IET Lucknow Last Rank 😱| AKTU Counselling 2025 #aktu #uptucounselling,SHOCKING IET Lucknow Last Rank | AKTU Counselling 2025 #aktu #uptucounselling.,Yash Garg,2025-06-27T11:32:11Z,2025,75742,2083,165,PT1M2S,unknown,https://www.youtube.com/watch?v=96Vid0JOCuc,3,Removed
C8KFBq3IabQ,Dr APJ Abdul Kalam Technical University,controversies,scam,Dr APJ Abdul Kalam Technical University scam,"AKTU B.Tech Lateral Entry 2026 | Honest Review, Cutoff, Registration &amp; Choice Filling","CUET LEET 2026 Result Ke Baad Kya Kare? Complete Admission Process | Registration, Documents, Cutoff DOWNLOAD OUR ...",Manmohan sir classes,2026-06-27T12:43:31Z,2026,1382,33,43,PT38M18S,unknown,https://www.youtube.com/watch?v=C8KFBq3IabQ,3,Removed
m2APDdRBs1Q,Rajasthan Technical University,controversies,scam,Rajasthan Technical University scam,"😲 RTU Kota Review 2026 | Truth About Placements, Cutoff, Fee, Campus &amp; Student Life #reap2026",REAP 2026 PAID COUNSELLING SUPPORT Get complete guidance for REAP 2026 Counselling with personal support till ...,BOARD ZONE,2026-06-07T09:05:31Z,2026,2353,50,39,PT16M3S,unknown,https://www.youtube.com/watch?v=m2APDdRBs1Q,3,Removed
hr98Aef5nIM,Rajasthan Technical University,controversies,scam,Rajasthan Technical University scam,mid-sem exam ka pressure!#rtukota #campuslife #minivlog #dailyvlog #kota #btech #collegediary,,mostly.pixiii,2025-10-10T12:54:20Z,2025,2129,29,29,PT49S,unknown,https://www.youtube.com/watch?v=hr98Aef5nIM,3,Removed
HoNSCH-zfB4,Rajasthan Technical University,controversies,scam,Rajasthan Technical University scam,"RTU Kota Decoded 2026🔥Worth It or Not? in REAP 2026? Seat Matrix, Cutoff, Placements, Fees ,Campus","RTU Kota Complete Admission Guide 2026 | REAP 2026 Planning to take admission in University Department, Rajasthan ...",Admission To Education Master,2026-06-28T05:39:57Z,2026,618,14,10,PT49M45S,unknown,https://www.youtube.com/watch?v=HoNSCH-zfB4,3,Removed
