video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label
ynJQHSfYYJ0,Ashoka University,faculty_research,faculty,Ashoka University faculty,Ashoka University: Another Professor Resigns after Sabyasachi’s Exit| Faculty warn of Exodus |News9,Another Professor from the economics department has resigned from Ashoka University. The resignations came after Professor ...,NEWS9 Live,2023-08-17T06:11:55Z,2023,1873,17,4,PT5M45S,unknown,https://www.youtube.com/watch?v=ynJQHSfYYJ0,27,Relevant
Ghl6tNPQSLs,SRM Institute of Science and Technology,faculty_research,faculty,SRM Institute of Science and Technology faculty,SRM IST - Trichy - About the Faculty of Physiotherapy,SRM IST - Trichy - About Our Faculty SRM Institute of Science and Technology is one of the top ranking universities in India with ...,"SRM Institute of Science and Technology, Trichy",2023-05-19T08:04:20Z,2023,2464,50,2,PT22S,unknown,https://www.youtube.com/watch?v=Ghl6tNPQSLs,27,Relevant
iSKS2Po0fKA,Delhi University,faculty_research,plagiarism,Delhi University plagiarism,How to remove AI plagiarism from research paper? | ezephd,How to remove AI plagiarism from research paper? | ezephd . How to remove AI plagiarism?✓ . Replace absolutes with hedging: ...,ezephd,2025-08-31T11:35:45Z,2025,77757,517,12,PT9S,unknown,https://www.youtube.com/watch?v=iSKS2Po0fKA,27,Relevant
8uWJbVgZccA,Ashoka University,faculty_research,faculty,Ashoka University faculty,Meet the World-Class Faculty at Ashoka University,"Ashoka University's faculty are scholars, mentors, and innovators who shape your learning with depth, vision and wisdom.",Ashoka University,2025-09-09T10:25:36Z,2025,2864,39,0,PT4M1S,unknown,https://www.youtube.com/watch?v=8uWJbVgZccA,26,Relevant
kB25SJPRDME,BITS Pilani,faculty_research,faculty,BITS Pilani faculty,BITS Pilani Faculty Hiring 2025 | Apply Online | PhD &amp; Experienced Professionals,BITS Pilani Faculty Recruitment 2025 Advance your research & teaching career with BITS Pilani – An Institution of Eminence.,CINI CUTIE FAM,2025-09-15T06:47:06Z,2025,332,2,0,PT16S,unknown,https://www.youtube.com/watch?v=kB25SJPRDME,26,Relevant
n-23R0BaAnc,Sharda University,faculty_research,faculty,Sharda University faculty,"Sharda University Agra B.Tech Admissions 2026 | Campus Tour, Courses, Scholarships &amp; Placements","Explore Sharda University Agra – a top destination for B.Tech admissions 2026 with world-class infrastructure, future-ready ...",Sharda University Agra (SUA),2026-02-26T08:39:27Z,2026,122,3,0,PT3M26S,unknown,https://www.youtube.com/watch?v=n-23R0BaAnc,26,Relevant
BtYozEIcW1o,Ashoka University,faculty_research,faculty,Ashoka University faculty,"Convocation 2025 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Professor Somak Raychaudhury, Vice-Chancellor of Ashoka University and Professor of Physics congratulates the graduating ...",Ashoka University,2025-06-17T10:30:07Z,2025,25817,125,0,PT12M18S,unknown,https://www.youtube.com/watch?v=BtYozEIcW1o,26,Relevant
pbrVcEit9jg,Chandigarh University,faculty_research,faculty,Chandigarh University faculty,Chandigarh University Campus Tour,Chandigarh University Campus Tour. Watch the Video.,Chandigarh University - CU,2023-12-29T03:51:16Z,2023,912173,8320,61,PT14S,unknown,https://www.youtube.com/watch?v=pbrVcEit9jg,26,Relevant
6QpS7mIoM2o,Sharda University,faculty_research,faculty,Sharda University faculty,Welcome to Sharda University Agra | Campus Tour ✨📍 #CampusLife #campustour,Step into the vibrant world of Sharda University Agra — where academics meet aesthetics and every space tells a story! ✨ Join ...,Sharda University Agra,2025-06-27T10:58:56Z,2025,22119,295,1,PT19S,unknown,https://www.youtube.com/watch?v=6QpS7mIoM2o,26,Relevant
57br3-6s3ek,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University Agra | Campus Tour | Students  Reviews  | Hiring Partners Fees &amp; Salary Package,"Discover Your Future at Sharda University Agra! ✨ Take a closer look at campus life, academics, and career opportunities at ...",Sharda University Agra (SUA),2026-04-23T11:18:38Z,2026,174,3,0,PT14M,unknown,https://www.youtube.com/watch?v=57br3-6s3ek,26,Relevant
fjAySprn6SM,Central University of Rajasthan,faculty_research,faculty,Central University of Rajasthan faculty,"🚨 Faculty Recruitment Alert – Central University of Rajasthan, Ajmer 🚨","The Central University of Rajasthan (CURAJ), Ajmer, has released its official faculty recruitment notification for Professor, ...",Faculty Hub,2025-08-16T12:16:02Z,2025,100,0,0,PT1M47S,unknown,https://www.youtube.com/watch?v=fjAySprn6SM,26,Relevant
