video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url
jrtFlF3ReLg,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF ranking of top 30 Engineering college in India #iit #iiit #nit #jeemains,Disclaimer: The information presented in this video are based on publicly available sources on the internet and are subject to ...,CCSU notes,2025-01-16T15:16:45Z,2025,649509,1682,45,PT5S,unknown,https://www.youtube.com/watch?v=jrtFlF3ReLg
QtyT8oQ9kM8,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 Colleges under Delhi University | NIRF 2023 Rankings | Poorva Choudhary,,CUET Unacademy,2023-06-12T14:30:13Z,2023,23313,923,12,PT39S,unknown,https://www.youtube.com/watch?v=QtyT8oQ9kM8
I23nCNDw4eA,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 Universities in India NIRF 2025 Rankings Explained,Send 'Hey' on *WhatsApp 8585951111* for FREE GUIDANCE or Click here https://wa.link/jqa87o *The NIRF 2025 Rankings ...,shiksha.com,2025-09-04T13:15:45Z,2025,5724,58,1,PT1M20S,unknown,https://www.youtube.com/watch?v=I23nCNDw4eA
O8Is4A9fhaU,Delhi University,rankings,NIRF,Delhi University NIRF,TOP 3 Colleges in Delhi University 🎓 #shorts,"shorts Let's Talk NIRF Rankings! NIRF, by the Ministry of Education, rates colleges nationwide. Miranda House grabs the top ...",CUET by Gokul Chhabra,2024-05-27T16:30:05Z,2024,7464,428,29,PT27S,unknown,https://www.youtube.com/watch?v=O8Is4A9fhaU
3KPObHu4Yjs,Delhi University,rankings,NIRF,Delhi University NIRF,Delhi University College Rankings 😍🔥 #shorts,Delhi University College Rankings - Top 10 Colleges of Delhi University according to the NIRF Ranking - 1. Miranda House ...,CUET by Gokul Chhabra,2023-06-08T12:30:03Z,2023,100739,6660,114,PT57S,unknown,https://www.youtube.com/watch?v=3KPObHu4Yjs
5lg-rsc6rY8,Delhi University,rankings,NIRF,Delhi University NIRF,Miranda house supremacy🫶🏻😭❤️ #trending #mirandahouse #delhiuniversity #nirf,,Sassy Buddies,2023-06-06T07:11:32Z,2023,8580,0,12,PT12S,unknown,https://www.youtube.com/watch?v=5lg-rsc6rY8
5GXEwojdeDo,Delhi University,rankings,NIRF,Delhi University NIRF,"JAMIA, DU, JNU Top 5 में – NIRF Rankinig में दिल्ली की छाप | NIRF University Ranking | Top Colleges",NIRF2025universityrankings #IIScBengalurutops #JNUsecond # Indiahighereducationinstitutions #Indiatop10universities ...,Awaz The Voice ,2025-09-05T13:05:00Z,2025,1010,14,0,PT1M26S,unknown,https://www.youtube.com/watch?v=5GXEwojdeDo
SAKTiUwz6iU,Delhi University,rankings,NIRF,Delhi University NIRF,Delhi University college rankings 🔥🔥 According to NIRF 2023 #delhiuniversity #shortvideo,,Ritika  gogia,2023-06-08T16:29:23Z,2023,82,0,0,PT16S,unknown,https://www.youtube.com/watch?v=SAKTiUwz6iU
N0jcclGciYU,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 University in India 🇮🇳 #university #college #top10 #india #shortsvideo,Top 10 University in India #university #college #top10 #india #shortsvideo Related tags:- top 10 most amazing top 10 Top 10 ...,The Smart Show,2023-09-04T10:01:17Z,2023,447305,0,88,PT38S,unknown,https://www.youtube.com/watch?v=N0jcclGciYU
WHFLWJzA0uw,Delhi University,rankings,NIRF,Delhi University NIRF,Top 5 Colleges in Delhi Universities 🔥| NIRF Ranking,Top 5 Colleges in Delhi Universities | NIRF Ranking ------------------------------------- Download Free CUET 2023 Study Material ...,SuperGrads CUET by Toprankers,2023-01-31T10:30:11Z,2023,6225,516,3,PT31S,unknown,https://www.youtube.com/watch?v=WHFLWJzA0uw
SYwd5j6STGw,Delhi University,rankings,NIRF,Delhi University NIRF,Top 40 Indian Law Colleges in 2025 🔥 : NIRF 2025 - TOP 40 Law Colleges by NIRF Ranking 2025,आप सभी का Bodmas Law & Manegement चैनल पर स्वागत है इस चैनल पर आपको Top 50 Indian Law ...,Bodmas Law & Management Career Hub,2025-09-04T13:53:55Z,2025,899,13,3,PT3M54S,unknown,https://www.youtube.com/watch?v=SYwd5j6STGw
Bg741nrzy7A,Delhi University,rankings,NIRF,Delhi University NIRF,💥 Top 10 MBA Colleges in NIRF 2024! 📈 IIM Calcutta vs IIT Delhi – Who&#39;s Ahead? #MBA #CAT2024 #IIM,Top 10 MBA Colleges in NIRF 2024! IIM Calcutta vs IIT Delhi – Who's Ahead? #MBA #CAT2024 #IIM #IIT #MBA2024 ...,MBA Fundas by Sunstone,2024-09-30T05:50:00Z,2024,149256,1914,15,PT26S,unknown,https://www.youtube.com/watch?v=Bg741nrzy7A
FupjkieDA3o,Delhi University,rankings,NIRF,Delhi University NIRF,Top South campus colleges for preference according to NIRF #delhiuniversity #southcampus #nirf,,Humanities Family,2024-06-23T02:30:11Z,2024,762,0,1,PT27S,unknown,https://www.youtube.com/watch?v=FupjkieDA3o
vM8cki7PwbQ,Delhi University,rankings,NIRF,Delhi University NIRF,NEET 2024 ll Top 25 MBBS Medical Colleges in India  NIRF Ranking #shorts #viral #neet2024,NEET 2024 ll Top 25 MBBS Medical Colleges in India NIRF Ranking #shorts #viral #neet2024 Website - www.neetmentor.co.in ...,NEET MENTOR UG,2024-05-19T07:24:17Z,2024,84635,513,5,PT8S,unknown,https://www.youtube.com/watch?v=vM8cki7PwbQ
85ez5GDAFFg,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 COLLEGES of DU : The Best Education in India,Welcome to Our Channel “Simplifying Exams” by Oswal. Sharukh sir lists out the Top10 colleges of DU according to the NIRF ...,Gurukul by Oswal ,2023-12-02T15:30:03Z,2023,166,7,0,PT59S,unknown,https://www.youtube.com/watch?v=85ez5GDAFFg
6HnKuC7NZzI,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF University Ranking: DU At 6th and JNU At 2nd | Here is what students say,JNU #DU #Universityofdelhi #delhiuniversity #nirf #nirfranking #university #dharmendrapradhan #jnucampus ...,The New Indian,2024-08-14T16:30:00Z,2024,74365,1296,8,PT48S,unknown,https://www.youtube.com/watch?v=6HnKuC7NZzI
n-jxpe876ls,Delhi University,rankings,NIRF,Delhi University NIRF,"TOP 10 DELHI UNIVERSITY COLLEGES: NIRF RANKING WISE,2024",,Bhupen's Vlog ,2024-08-31T03:30:52Z,2024,31,0,0,PT1M1S,unknown,https://www.youtube.com/watch?v=n-jxpe876ls
l0Zax4OHpN0,Delhi University,rankings,NIRF,Delhi University NIRF,"NIRF Ranking 2025: दिल्ली यूनिवर्सिटी के 5 कॉलेज टॉप पर, जानें पूरी लिस्ट",केन्द्रीय शिक्षा मंत्रालय ने एनआईआरएफ रैंकिंग 2025 जारी कर दी है.,Good News Today,2025-09-05T16:45:07Z,2025,2949,18,0,PT2M17S,unknown,https://www.youtube.com/watch?v=l0Zax4OHpN0
5XOAQueqiqo,Delhi University,rankings,NIRF,Delhi University NIRF,What NIRF Ranking means for a College🤔#nirf #ranking #nirfranking #rank #colleges #btech,What NIRF Ranking means for a College  #nirf #ranking #nirfranking #rank #colleges #btech.,Vedantu JEE Made Ejee,2024-08-27T13:30:02Z,2024,10174,305,2,PT59S,unknown,https://www.youtube.com/watch?v=5XOAQueqiqo
ffaXMUn-vp8,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF Ranking 2025 Top 15 Govt. Engineering Colleges in India #nirfranking #engineering #btech#2025,"""India ke Top 15 Engineering Colleges ka NIRF 2025 Ranking aa chuka hai! Is video me hum compare karenge IITs, NITs aur ...",FutureDesk,2025-08-13T08:30:21Z,2025,33608,67,0,PT4S,unknown,https://www.youtube.com/watch?v=ffaXMUn-vp8
uPgqDUcgavg,Delhi University,rankings,NIRF,Delhi University NIRF,Nirf  Rankings 2024 #nirfranking #nirf #delhiuniversity #university #ducolleges #cuetpg2024 #cuet,,CUET XPRESS,2024-08-15T11:17:53Z,2024,319,11,1,PT18S,unknown,https://www.youtube.com/watch?v=uPgqDUcgavg
6emEpKDDMns,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 Colleges in India NIRF 2025 Rankings Explained,Send 'Hey' on WhatsApp *8585951111* for FREE GUIDANCE or Click here *https://wa.link/nnuajt* The *NIRF 2025 College ...,shiksha.com,2025-09-04T11:07:12Z,2025,2537,33,8,PT1M20S,unknown,https://www.youtube.com/watch?v=6emEpKDDMns
03WsICL8sRk,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF 2024 Rankings में Top Delhi University Colleges!🔥 #shorts,"shorts The Ministry of Education has just released the 9th Edition of NIRF Rankings, and Delhi University is shining bright!",CUET by Gokul Chhabra,2024-08-13T08:38:36Z,2024,9930,390,13,PT31S,unknown,https://www.youtube.com/watch?v=03WsICL8sRk
LFovtAFG-mw,Delhi University,rankings,NIRF,Delhi University NIRF,India College Rankings| JNU Female Student: Its Due To The Students&#39; Efforts,JNU #jnucampus #delhiuniversity #DU #Universityofdelhi #nationalinstitute #NIRF #ranking #bestuniversity Jawaharlal Nehru ...,The New Indian,2024-08-13T17:45:07Z,2024,795,27,2,PT1M,unknown,https://www.youtube.com/watch?v=LFovtAFG-mw
WiHjcyZq7-w,Delhi University,rankings,NIRF,Delhi University NIRF,Top 5 medical college in india NIRF ranking 2023 Aiims delhi motivational videos.AIIMS TALKIES,Top 5 medical college in india NIRF ranking Top 5 medical college in india NIRF ranking 2023 Aiims delhi motivational videos.,AIIMS TALKIES,2023-06-03T07:05:18Z,2023,400,15,0,PT17S,unknown,https://www.youtube.com/watch?v=WiHjcyZq7-w
6MasnRYmjmQ,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF Rankings Shocking Reality!🔥😱 #shorts,shorts Beware of Over-Reliance on NIRF Rankings: Most students trust NIRF rankings because they're released by the ...,CUET by Gokul Chhabra,2024-08-18T08:30:01Z,2024,4240,115,15,PT56S,unknown,https://www.youtube.com/watch?v=6MasnRYmjmQ
y8RdArJ9-JI,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF 2025 Rankings: Top DU Colleges According to NIRF 2025 Rankings and Scores,"Every year, students eagerly wait to see which colleges make the cut. This year's NIRF 2025 rankings are out, and they show ...",Jagran Josh,2025-09-09T07:01:01Z,2025,539,1,0,PT1M46S,unknown,https://www.youtube.com/watch?v=y8RdArJ9-JI
z0HSEjh8oe0,Delhi University,rankings,NIRF,Delhi University NIRF,CUTE Delhi University ke Acharya Narendra Dev College 18th among colleges Ranking Framework (NIRF),,shyamlal College University of Delhi ,2025-07-14T12:32:17Z,2025,2768,26,0,PT15S,unknown,https://www.youtube.com/watch?v=z0HSEjh8oe0
ZFLtzqPlBhM,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF Rankings SCAM hai😱| Delhi University 🎓| Ese Preference Sheet Mat Bharna🔥| College Rankings✨,NIRF Rankings SCAM hai  | Delhi University | Ese Preference Sheet Mat Bharna  | College Rankings✨ Heyy guys❤ In this ...,Sahil Gupta,2023-06-09T08:08:31Z,2023,134,5,5,PT7M9S,unknown,https://www.youtube.com/watch?v=ZFLtzqPlBhM
Tg1vA62C_HM,Delhi University,rankings,NIRF,Delhi University NIRF,Top NITs in India 2025 || Based on NIRF Ranking 2025 || Best NIT colleges #NIRF #NIT #engineering,Top NIT colleges in India 2025 based on NIRF Ranking 2025. Music: Dreamers in the Sun Musician: VN VideoEditor.,Rohit Narvekar,2025-09-20T13:30:11Z,2025,46037,105,1,PT10S,unknown,https://www.youtube.com/watch?v=Tg1vA62C_HM
KiOT9QJCAt4,Delhi University,rankings,NIRF,Delhi University NIRF,India Today ranking of Top 25 Engineering colleges #nit ##iit #iiit,Disclaimer: The information presented in this video are based on publicly available sources on the internet and are subject to ...,CCSU notes,2025-01-18T09:16:53Z,2025,1601340,6340,172,PT5S,unknown,https://www.youtube.com/watch?v=KiOT9QJCAt4
jV2parrlWDM,Delhi University,rankings,NIRF,Delhi University NIRF,Alakh Pandey sir in Miranda house 🫶🏼Delhi university #Nirf 1 Motivational short #viral #Shorts #pw,,Simran Kamboj,2024-04-24T14:01:38Z,2024,1049,0,1,PT25S,unknown,https://www.youtube.com/watch?v=jV2parrlWDM
WkkzXvo_tbE,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 North Campus Colleges of Delhi University in 2024 🔥 | NIRF RANKING DU COLLEGES 💯,Top 10 North Campus Colleges of Delhi University in 2024 | NIRF RANKING DU COLLEGES #cuet #delhiuniversity #csas #nta ...,Raj Unfiltered ,2024-08-08T17:13:52Z,2024,336,0,2,PT58S,unknown,https://www.youtube.com/watch?v=WkkzXvo_tbE
xKv1EfKeYWA,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF Rankings 2023 Top college. Top DU college list NIRF .#DU #north campus du #Bhu #jnu #topcollege,College preference list Du #cuet #cuet2023 #cuet2023exam #nta #Du college list #North Campus College list DU #nirfranking ...,Study CSE 4744,2023-06-06T04:34:51Z,2023,2986,61,0,PT13S,unknown,https://www.youtube.com/watch?v=xKv1EfKeYWA
bMVdg3braq4,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF Ranking 2024 #nirfranking2024 #students #india #education #univercity #college #upsc #bharat,"The NIRF (National Institutional Ranking Framework) Rankings for 2024 have been released, highlighting the top institutions in ...",Digiproduct Bundle,2024-08-13T12:09:59Z,2024,8,0,0,PT1M29S,unknown,https://www.youtube.com/watch?v=bMVdg3braq4
yAtJDCEmu80,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF 2025 Rankings Out! | India’s Top 10 Colleges &amp; Universities Explained | Vision JRF | Shiv Sir,"The NIRF Rankings 2025 are finally out! In this video, Shiv Sir (JRF, PhD Research Scholar) explains the Top 10 Colleges and ...",Vision JRF,2025-10-11T05:20:26Z,2025,9165,805,39,PT15M51S,unknown,https://www.youtube.com/watch?v=yAtJDCEmu80
_QvinuhKAHE,Delhi University,rankings,NIRF,Delhi University NIRF,"Hidden reality about NIRF Ranking | NIRF Scam | Delhi University, IIT, NIT, JEE,  #mlnc #du #cuet",,Bout Creation,2024-09-21T07:11:56Z,2024,3225,73,10,PT33S,unknown,https://www.youtube.com/watch?v=_QvinuhKAHE
Or25eTNoFO8,Delhi University,rankings,NIRF,Delhi University NIRF,Delhi University North Campus Minimum Marks 🔥💯,Delhi University North Campus Minimum Marks.,Adda247 CUET,2024-04-08T08:45:04Z,2024,237914,8927,129,PT59S,unknown,https://www.youtube.com/watch?v=Or25eTNoFO8
nW0Kz-HiY6U,Delhi University,rankings,NIRF,Delhi University NIRF,💥 Top 5 Engineering Colleges in Delhi 2025 🔥 | Cutoff &amp; Highest Closing Rank!,Top 5 Engineering Colleges in Delhi 2025 Confused about which engineering college to choose in Delhi? This video covers ...,Careers360,2025-07-23T05:35:40Z,2025,4474,31,1,PT1M22S,unknown,https://www.youtube.com/watch?v=nW0Kz-HiY6U
vvlfyZ8OL3M,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 Medical Colleges in India | NIRF Ranking 2025 #bestmedicalcolleges #topmedicalcolleges #nirf,Live RE NEET 2026 Answer Key: https://www.youtube.com/watch?v=nbYOYK774_E Want to know the Top 10 Medical Colleges ...,Sri Chaitanya Academy NEET,2025-09-11T09:30:29Z,2025,8403,55,2,PT1M20S,unknown,https://www.youtube.com/watch?v=vvlfyZ8OL3M
_PbZp46GSPc,Delhi University,rankings,NIRF,Delhi University NIRF,NIRF Ranking DU 2025 for CUET 2026 #Shorts,Get 1-on-1 CUET 2026 Counselling Here: https://bit.ly/42KYrvl Join telegram Group : https://t.me/cuet_samarth_Exam_Prep ...,SuperGrads CUET by Toprankers,2025-09-08T04:30:32Z,2025,446,5,4,PT29S,unknown,https://www.youtube.com/watch?v=_PbZp46GSPc
DCUblLOmOQM,Delhi University,rankings,NIRF,Delhi University NIRF,Top 5 colleges of DU according to NIRF. #cuet #cuet2025 #nirfdu #lsr #arsd #kmc #hinducollege,This video explains about the NIRF ranking of the top 5 DU colleges.,Unimonks CUET,2024-09-07T04:31:13Z,2024,701,0,0,PT48S,unknown,https://www.youtube.com/watch?v=DCUblLOmOQM
dJTaA_SNaX8,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10 Engineering Colleges in India 2024 🔧 | NIRF Rankings | Best IITs &amp; NITs #india,Check out the Top 10 Engineering Colleges in India as per the NIRF 2024 rankings! Whether you're aiming for IIT Madras or NIT ...,kiran,2025-05-02T08:17:43Z,2025,440,3,0,PT14S,unknown,https://www.youtube.com/watch?v=dJTaA_SNaX8
SyoifHTYwRA,Delhi University,rankings,NIRF,Delhi University NIRF,"St. Stephen’s College Review 2025 | CUET Cutoff&#39;24, Highest Package, NIRF Rank, Courses","St. Stephen's College Review 2024 | CUET Cutoff, Highest Package, NIRF Rank, Courses   St. Stephen's College – The Harvard ...",CUET Academy Online | DSSD ,2025-06-20T03:30:31Z,2025,11966,147,1,PT31S,unknown,https://www.youtube.com/watch?v=SyoifHTYwRA
bQStfBEa29c,Delhi University,rankings,NIRF,Delhi University NIRF,Hindu College Delhi University Motivational Status / #HinduCollege #du #attitude #status #cuet #100,delhi university cuet du hindu college cuet 2024 srcc du 2024 south campus lady shri ram college hindu college hostel hindu ...,Nexiors,2024-08-16T06:40:14Z,2024,23850,736,14,PT21S,unknown,https://www.youtube.com/watch?v=bQStfBEa29c
gOQfQR_MXgQ,Delhi University,rankings,NIRF,Delhi University NIRF,Preference List for BSC Hons Computer Science DELHI UNIVERSITY,CUET UG 2025: B. Sc. (Hons.) Computer Science- NIRF Rank-wise (Top to bottom) preference list of all 20 colleges of Delhi ...,Gyaan Bytz,2025-07-09T11:58:14Z,2025,2433,30,3,PT9S,unknown,https://www.youtube.com/watch?v=gOQfQR_MXgQ
FwyKyRynTNQ,Delhi University,rankings,NIRF,Delhi University NIRF,Top 5 Deemed Universities in Tamilnadu 2025|Placements Report|Nirf Ranking|Dineshprabhu#dineshprabhu,Video Description: For Entrance Exam Coaching : 6383279480/6369652321 Follow me on social media for career updates: ...,DINESH PRABHU,2025-02-24T13:45:01Z,2025,87468,2520,31,PT1M31S,unknown,https://www.youtube.com/watch?v=FwyKyRynTNQ
tRJJv_LqGFg,Delhi University,rankings,NIRF,Delhi University NIRF,check which DU college topped the 2025 NIRF Ranking 😲#delhiuniversity,,Akanksha Art Life,2025-09-10T08:56:56Z,2025,407,5,0,PT5S,unknown,https://www.youtube.com/watch?v=tRJJv_LqGFg
RswcSsAtVPU,Delhi University,rankings,NIRF,Delhi University NIRF,top 10 universities of India 🇮🇳 | NIRF ranking 2023,,Iam Nawaz,2023-06-09T09:41:39Z,2023,717,8,0,PT28S,unknown,https://www.youtube.com/watch?v=RswcSsAtVPU
giCQ2kvIAI4,Delhi University,rankings,NIRF,Delhi University NIRF,Top 10  NIRF Ranking Universities in India /#iitjee#viralvideo #srm #vit #iitbombay #iitdelhi #jossa,,Destiny's Calling ,2023-07-04T13:20:24Z,2023,313,0,0,PT43S,unknown,https://www.youtube.com/watch?v=giCQ2kvIAI4
RDbLM93d6e4,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,"Top 10 Engineering Colleges in Hyderabad 2025 | NIRF Rankings, Fees, Eligibility &amp; Placements","Send 'Hey' on WhatsApp 8585951111 for FREE Guidance or click here https://wa.link/bopp6q In this video, we explore the top 10 ...",shiksha.com,2025-06-11T13:30:18Z,2025,1349,4,1,PT2M43S,unknown,https://www.youtube.com/watch?v=RDbLM93d6e4
6nYy6Nf2vOw,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,Top Engineering Colleges in Telangana according to NIRF Ranking 2023 #eamcet2023 #jee  #telangana,,NextStep,2023-06-07T05:17:54Z,2023,182497,3843,123,PT22S,unknown,https://www.youtube.com/watch?v=6nYy6Nf2vOw
s8c7Yd3xWJA,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,"NIRF 2025 Engineering Rankings: IIT Hyderabad Breaks Into Top 7, Full Top 10 List Inside #iit #jee",,RDS Vlogs [IIT Guwahati],2025-09-04T16:06:00Z,2025,318285,2020,51,PT20S,unknown,https://www.youtube.com/watch?v=s8c7Yd3xWJA
lmyg_bjOe4I,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,Top 10 Best Universities in India 2023 (NIRF Ranking)||#ytshort #shorts#trending,Top 10 Best Universities in India 2023 (NIRF Ranking)||#ytshort #shorts#trending ...,Edutech Cadet Academy,2023-05-14T10:46:19Z,2023,354,20,0,PT59S,unknown,https://www.youtube.com/watch?v=lmyg_bjOe4I
roQty6oljb4,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,"🔥 Top 30 Engineering Institutes in India 2025 | NIRF Ranking 📊 Best IITs, NITs &amp; Universities 🎓✨",Engineering #EngineerLife #MechanicalEngineering #CivilEngineering #ElectricalEngineering #ElectronicsEngineering ...,ROOTS AND ROUTINE ,2025-09-07T05:55:50Z,2025,29581,0,13,PT16S,unknown,https://www.youtube.com/watch?v=roQty6oljb4
9Kg3hRAnTxc,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,Top 10 Universities in India | NIRF Ranking 2025#top10 #university #india #subscribe #2025,,FutureDesk,2025-07-02T08:30:11Z,2025,2536,12,0,PT31S,unknown,https://www.youtube.com/watch?v=9Kg3hRAnTxc
t_iGGanfDXw,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,Do Not Trust NIRF Ranking !!  #engineering #iit #colleges #ritikmeghwani,"Hey Guys, Join Telegram for Pdf - https://t.me/r_meghwani ✓ Instagram Handle - Ritik Meghwani ✓ Linkedin ...",Ritik Meghwani,2023-10-06T13:28:05Z,2023,81744,5100,120,PT1M,unknown,https://www.youtube.com/watch?v=t_iGGanfDXw
SevHtRimHYI,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,"💥 All About IIIT Hyderabad 2025 | Fees, Ranking, Placement &amp; Admission Process! #IIIT","All About IIIT Hyderabad 2025 | Fees, Ranking, Placement & Admission Process! In this video, we cover everything you need to ...",Careers360,2025-05-19T11:43:13Z,2025,93463,1653,22,PT1M17S,unknown,https://www.youtube.com/watch?v=SevHtRimHYI
IKRP3Yh1q-s,University of Hyderabad,rankings,NIRF,University of Hyderabad NIRF,Top 10 Engineering Colleges in Telangana? NIRF Reveals the Truth!,"In this video, we reveal the Top 10 Engineering Colleges in Telangana using the official NIRF 2025 Government of India rankings.",Student Hub Telugu,2026-01-09T13:00:44Z,2026,601,14,3,PT5M58S,unknown,https://www.youtube.com/watch?v=IKRP3Yh1q-s
